feature,category,rows,mean_shap
zip_code,740xx,16,-0.020268368744357071
zip_code,741xx,10,0.030242802196692915
zip_code,743xx,2,-0.031577198338622006
zip_code,744xx,3,-0.03318371893366661
zip_code,745xx,4,-0.0062110494436669701
zip_code,746xx,1,-0.029030716911370123
zip_code,747xx,1,-0.029261380496682116
zip_code,748xx,5,-0.037164722184312757
zip_code,749xx,2,-0.023475700386733654
zip_code,750xx,103,-0.060397373374087134
zip_code,751xx,28,0.13497542172121743
zip_code,752xx,40,-0.076371201041875628
zip_code,753xx,2,-0.031817312002257937
zip_code,754xx,12,-0.033282001184127538
zip_code,755xx,7,-0.026453241929630129
zip_code,756xx,5,-0.044790153011705428
zip_code,757xx,13,-0.035000493250080394
zip_code,758xx,5,-0.03356141050966735
zip_code,759xx,4,-0.032153916820057152
zip_code,760xx,45,-0.096521836540502351
zip_code,761xx,26,-0.026935630978518314
zip_code,762xx,28,-0.032231416906007206
zip_code,763xx,8,-0.035208712120497844
zip_code,764xx,2,-0.028135214419575227
zip_code,765xx,27,-0.024360348592909267
zip_code,766xx,2,0.12288089773204999
zip_code,767xx,2,-0.025681720497017363
zip_code,768xx,3,-0.026012882696516994
zip_code,769xx,2,-0.030581119782002612
zip_code,770xx,77,-0.062635056404838199
zip_code,772xx,2,-0.032853656289809734
zip_code,773xx,47,-0.032972555367308511
zip_code,774xx,31,-0.12491240485269668
zip_code,775xx,42,0.097102004465073694
zip_code,776xx,3,-0.030979998922223858
zip_code,777xx,3,-0.03147982715550459
zip_code,778xx,7,-0.066208750174545042
zip_code,779xx,4,-0.025285436860330416
zip_code,780xx,14,0.065257713248354096
zip_code,781xx,8,-0.26486645397286035
zip_code,782xx,38,-0.18366525078341145
zip_code,783xx,9,-0.029965878356371298
zip_code,784xx,11,-0.029631114121680603
zip_code,785xx,19,-0.12292799835951614
zip_code,786xx,28,-0.0081650743953623796
zip_code,787xx,39,-0.20039856401319314
zip_code,788xx,1,-0.020977978058804286
zip_code,789xx,4,-0.027346633561717563
zip_code,790xx,5,-0.032406970496249049
zip_code,791xx,3,-0.030265729057447417
zip_code,792xx,2,-0.028891851113376443
zip_code,793xx,2,-0.040112835292552364
zip_code,794xx,3,0.0055192780759385643
zip_code,795xx,1,-0.027557414746510425
zip_code,796xx,9,-0.035269651906055098
zip_code,797xx,12,-0.033330495746531519
zip_code,798xx,2,-0.022811643960410487
zip_code,799xx,22,0.13839585844203747
zip_code,800xx,48,-0.042870775377214954
zip_code,801xx,30,-0.050683738996053121
zip_code,802xx,57,-0.05637894301773623
zip_code,803xx,5,-0.028492013645166785
zip_code,804xx,6,-0.11007729325167864
zip_code,805xx,26,-0.026247965785796294
zip_code,806xx,11,-0.030045068607967729
zip_code,807xx,3,-0.030237739736852499
zip_code,808xx,6,0.042643424878627489
zip_code,809xx,20,-0.036491716764177708
zip_code,810xx,11,0.060339669202273225
zip_code,811xx,2,0.089376163396702776
